,,,,,,
Description,Parent Topic,HOCS Team name,HOCS Team name in full,HOCS Unit Name,HOCS Unit name in full,Howard - 18 Oct
"Internal Audit Policy, Procedures and Standards",Capabilities and Resources ,AAU,Audit and Assurance Unit,C&R,Capabilities and Resources,
Home Office accounting and finance,Capabilities and Resources ,AFU,Accounting and Finance Unit,C&R,Capabilities and Resources,
Transfer issue - Attorney General's Office (AGO),Transfers to OGD ,AGO (OGD),Attorney General's Office,Other Government Department,,
EDM 1104,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Campaign regarding the use of pregnant sheep for statins research at Cambridge University,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
EDM 538 and/or non-human primates,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
BUAV - Vote Cruelty Free campaign,Campaigns ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Planning permission granted for expansion of a breeding facility for beagles,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Re-homing Laboratory Animals,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
The Government policy on the use of animals,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
BUAV allegations regarding use of sheep for research into neurological disorders at Cambridge University,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Cardiff University Kittens,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Non-Human Primates,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Harlan UK and its inspection under Animals (Scientific Procedures) Act 1986,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Genetically altered animals,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Alternatives:  Development of alternatives to animal use.,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Freedom of Information & section 24 ASPA,Freedom of Information Act ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Household Products,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
EDM 636 - household products and section 24.,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
BUAV - Judicial Review against the Home Office over investigations into Imperial College London,Specific Cases ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
cats and dogs: BUAV Our Best Friends Campaign,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Cats and Dogs,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Frequently Asked Questions on Animal Testing,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Animals in Science Regulation,Animal Research & Testing ,ASRU,Animals in Science Regulation Unit,C&R SSI,"Capabilities and Resources Security, Science and Innovation",
Unicef campaign -Keeping Families Together.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Seasonal agricultural workers,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Care campaign - general refugee crisis,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Stand as One - family reunion campaign,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Economic Migration Policy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
University of Essex  Amnesty International Society LGBT rights campaign,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Police powers to capture passenger, crew, service and freight data from air/sea carriers & vehicles arriving/departing the UK",Police Powers ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Fire at Dunkirk refugee camp,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Freedom from Torture,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Right Of Abode For Former British-Hong Kong Servicemen,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Amnesty campaign - family reunion with particular reference to the Safeguarding Strategy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Le Touquet Treaty - juxtaposed controls,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
